Dataset,Model,MSE,RMSE,MAE,MAPE,Parameters
cos,"KAN widths=(8, 8) grid=2 n_basis=6",0.1285812560672639,0.3585822863266727,0.21390145039185882,0.5508002948015929,5750
cos,"KAN widths=(8, 8) grid=2 n_basis=8",0.0978516566471626,0.31281249439106906,0.1549701669951901,0.3253826609347016,6182
cos,"KAN widths=(8, 8) grid=2 n_basis=10",0.09966535749081232,0.31569820634715734,0.15640964210033417,0.36518256422132256,6614
cos,"KAN widths=(8, 8) grid=6 n_basis=6",0.10855428401519021,0.32947577151467483,0.176927295839414,0.3683266320731491,7530
cos,"KAN widths=(8, 8) grid=6 n_basis=8",0.10051335604339329,0.317038414144711,0.15397640363080428,0.3382312916452065,8090
cos,"KAN widths=(8, 8) grid=6 n_basis=10",0.0897562088277482,0.2995934058482399,0.13086593059124424,0.27465861917007717,8650
cos,"KAN widths=(8, 8) grid=8 n_basis=6",0.12185597011321078,0.3490787448602547,0.1834875737549737,0.40689461268484595,8420
cos,"KAN widths=(8, 8) grid=8 n_basis=8",0.09945661710680724,0.3153674319057173,0.1440194951952435,0.3110710456967354,9044
cos,"KAN widths=(8, 8) grid=8 n_basis=10",0.10112089116669268,0.3179951118597465,0.13708538381615654,0.3129158426076174,9668
cos,"KAN widths=(16, 16) grid=2 n_basis=6",0.10774311666755239,0.32824246627691606,0.17508361586369575,0.3860429105348885,14590
cos,"KAN widths=(16, 16) grid=2 n_basis=8",0.09432873740915966,0.3071298380313441,0.14440164864063262,0.3076578419655561,15438
cos,"KAN widths=(16, 16) grid=2 n_basis=10",0.08989424775609223,0.29982369445407786,0.13609882229939102,0.29842897690832615,16286
cos,"KAN widths=(16, 16) grid=6 n_basis=6",0.1110354848038014,0.3332198745630299,0.17578680058941246,0.3730238830205053,19090
cos,"KAN widths=(16, 16) grid=6 n_basis=8",0.09295622616098172,0.30488723515585514,0.13644775550346822,0.2809738443349488,20194
cos,"KAN widths=(16, 16) grid=6 n_basis=10",0.08789779700387043,0.29647562632343055,0.12008774213609286,0.2571719275438227,21298
cos,"KAN widths=(16, 16) grid=8 n_basis=6",0.10648729723961878,0.326323914599618,0.16956344156060368,0.3658703162334859,21340
cos,"KAN widths=(16, 16) grid=8 n_basis=8",0.09806197222762876,0.31314848271647233,0.13789112750673665,0.2968773212051019,22572
cos,"KAN widths=(16, 16) grid=8 n_basis=10",0.08085988113367079,0.28435871910963234,0.11334013970918022,0.2277348379488103,23804
cos,"KAN widths=(32, 32) grid=2 n_basis=6",0.10867405315220821,0.32965747853220045,0.1764222286408767,0.3865561059676111,42254
cos,"KAN widths=(32, 32) grid=2 n_basis=8",0.09153489900272689,0.30254735001769045,0.13731169274542482,0.282229797123,43934
cos,"KAN widths=(32, 32) grid=2 n_basis=10",0.07596930081163009,0.2756252905878379,0.11395616356749087,0.2441123842727393,45614
cos,"KAN widths=(32, 32) grid=6 n_basis=6",0.10468065659224521,0.3235439021095054,0.16567654062528164,0.35224826345220206,55266
cos,"KAN widths=(32, 32) grid=6 n_basis=8",0.09438188845654168,0.30721635447440243,0.133621869829949,0.2649813638534397,57458
cos,"KAN widths=(32, 32) grid=6 n_basis=10",0.07467394684528017,0.27326534146371395,0.10617949505976867,0.21470225929515435,59650
cos,"KAN widths=(32, 32) grid=8 n_basis=6",0.10492152835038268,0.32391592790473067,0.16450034263543784,0.3520340888993815,61772
cos,"KAN widths=(32, 32) grid=8 n_basis=8",0.09196868151489071,0.3032633863737769,0.13480394572252408,0.2687825637869537,64220
cos,"KAN widths=(32, 32) grid=8 n_basis=10",0.0762452668470928,0.27612545490608575,0.11147485293913632,0.22796070624608547,66668
